RCDTS,School Name,ambitious_instruction,collaborative_teachers,involved_families,supportive_environment,Year
1.50163E+14,Lara Elem Academy,50.0,66.0,69.0,52.0,2021
1.50163E+14,LaSalle Elem Language Academy,47.0,46.0,76.0,50.0,2021
1.50163E+14,LaSalle II Lang Acad Elem Sch,64.0,65.0,76.0,60.0,2021
1.50163E+14,Lavizzo Elem School,72.0,70.0,57.0,56.0,2021
1.50163E+14,Lawndale Elem Community Academy,80.0,67.0,59.0,59.0,2021
15016299025272,LEARN Charter Excel Campus,67.0,93.0,80.0,60.0,2021
15016299025275,LEARN Chtr -  Hunter Perkins Campus,,68.0,64.0,,2021
15016299025276,LEARN Chtr - 7th Campus,72.0,26.0,50.0,60.0,2021
15016299025283,LEARN Chtr - Butler,66.0,69.0,59.0,57.0,2021
15016299025109,LEARN Chtr - Middle School,,60.0,44.0,,2021
15016299025274,LEARN Chtr - South Chicago Campus,,59.0,55.0,,2021
15016299025273,LEARN Chtr-Campbell Campus,68.0,73.0,63.0,58.0,2021
1.50163E+14,Lee Elem School,65.0,86.0,86.0,70.0,2021
15016299025221,Legacy Elem Charter School,61.0,27.0,43.0,61.0,2021
15016299025019,Legal Prep Academy Charter HS,60.0,37.0,64.0,60.0,2021
1.50163E+14,Leland Elem School,37.0,56.0,43.0,40.0,2021
1.50163E+14,Lenart Elem Regional Gifted Ctr,47.0,21.0,58.0,45.0,2021
1.50163E+14,Lewis Elem School,79.0,97.0,84.0,70.0,2021
1.50163E+14,Libby Elem School,76.0,43.0,56.0,62.0,2021
1.50163E+14,Lincoln Elem School,,49.0,80.0,,2021
1.50163E+14,Lincoln Park High School,,,,,2021
1.50163E+14,Lindblom Math & Science Acad HS,,,,,2021
1.50163E+14,Linne Elem School,74.0,57.0,70.0,73.0,2021
1.50163E+14,Little Village Elem School,51.0,48.0,57.0,72.0,2021
1.50163E+14,Lloyd Elem School,81.0,49.0,70.0,92.0,2021
1.50163E+14,Locke  J Elem School,61.0,54.0,64.0,57.0,2021
15016299025206,Locke A Elem Charter Academy,,,,,2021
1.50163E+14,Lovett Elem School,72.0,61.0,64.0,66.0,2021
1.50163E+14,Lowell Elem School,72.0,49.0,64.0,66.0,2021
1.50163E+14,Lozano Elem Bilingual & Intl Ctr,56.0,37.0,72.0,68.0,2021
1.50163E+14,Lyon Elem School,51.0,52.0,63.0,56.0,2021
1.50163E+14,Madero Middle School,70.0,58.0,41.0,59.0,2021
1.50163E+14,Madison Elem School,72.0,65.0,67.0,57.0,2021
1.50163E+14,Manierre Elem School,60.0,59.0,62.0,56.0,2021
1.50163E+14,Manley Career Academy High School,72.0,74.0,83.0,73.0,2021
